"sciname","StockCode","AgeMatMin","AgeMatMin2","tm"
"Squalius pyrenaicus",18757,NA,NA,3
"Squalius squalus",55197,3,5,NA
"Squalius squalus",55197,1,3,NA
"Telestes croaticus",20508,NA,NA,NA
"Telestes croaticus",20508,NA,NA,NA
"Telestes dabar",57224,NA,NA,NA
"Telestes dabar",57224,NA,NA,NA
"Telestes metohiensis",20510,NA,NA,NA
"Telestes metohiensis",20510,NA,NA,NA
"Telestes muticellus",49989,2,3,NA
"Telestes pleurobipunctatus",20515,2,NA,NA
"Telestes pleurobipunctatus",20515,NA,NA,NA
"Telestes souffia",6784,3,NA,NA
"Tinca tinca",283,2,2,2
"Tinca tinca",283,2,6,NA
"Tinca tinca",283,4,NA,NA
"Tinca tinca",283,3,NA,NA
"Tor douronensis",5701,NA,NA,NA
"Tor douronensis",5701,NA,NA,NA
"Tor putitora",9515,2.5,3,NA
"Tor putitora",9515,1.5,2,NA
"Tor tambroides",12557,NA,NA,NA
"Tor tambroides",12557,NA,NA,NA
"Tor tor",4832,NA,NA,NA
"Tribolodon brandtii",40201,NA,NA,3
"Tribolodon sachalinensis",18771,NA,NA,2.5
"Tropidophoxinellus hellenicus",20541,1,2,NA
"Vimba vimba",6694,3,NA,NA
"Vimba vimba",6694,3,5,NA
"Xenocypris macrolepis",11423,NA,NA,4
"Xenocypris macrolepis",11423,NA,NA,3
"Aphanius baeticus",51310,0.25,0.33,NA
"Aphanius fasciatus",5064,0.6,1,NA
"Aphanius iberus",5106,0.5,NA,NA
"Dactylagnus mundus",43006,NA,NA,NA
"Dactylagnus mundus",43006,NA,NA,NA
"Dactyloscopus lacteus",46626,NA,NA,NA
"Dactyloscopus metoecus",50450,NA,NA,NA
"Dactyloscopus metoecus",50450,NA,NA,NA
"Platygillellus rubellulus",43011,NA,NA,NA
"Platygillellus rubellulus",43011,NA,NA,NA
"Dalatias licha",685,NA,NA,NA
"Dalatias licha",685,NA,NA,NA
"Dalatias licha",685,NA,NA,NA
"Dalatias licha",685,NA,NA,NA
"Euprotomicrus bispinatus",709,NA,NA,NA
"Euprotomicrus bispinatus",709,NA,NA,NA
"Isistius brasiliensis",712,NA,NA,NA
"Isistius brasiliensis",712,NA,NA,NA
"Isistius brasiliensis",712,NA,NA,NA
"Isistius brasiliensis",712,NA,NA,NA
"Isistius brasiliensis",712,NA,NA,NA
"Isistius brasiliensis",712,NA,NA,NA
"Squaliolus aliae",21295,NA,NA,NA
"Squaliolus laticaudus",721,NA,NA,NA
"Squaliolus laticaudus",721,NA,NA,NA
"Dasyatis akajei",956,NA,NA,NA
"Dasyatis akajei",956,NA,NA,NA
"Dasyatis akajei",956,NA,NA,NA
"Dasyatis americana",1263,NA,NA,NA
"Dasyatis americana",1263,NA,NA,NA
"Dasyatis centroura",2768,NA,NA,NA
"Dasyatis centroura",2768,NA,NA,NA
"Dasyatis centroura",2768,NA,NA,NA
"Dasyatis centroura",2768,NA,NA,NA
"Dasyatis longa",13504,NA,NA,NA
"Dasyatis longa",13504,NA,NA,NA
