"autoctr","sciname","StockCode","MaturityRefNo","Sex","AgeMatMin","AgeMatMin2","AgeMatRef","tm","Number","r2","SE_tm","SD_tm","LCL_tm","UCL_tm","LengthMatMin","LengthMatMin2","Type1","LengthMatRef","Lm","SE_Lm","SD_Lm","LCL_Lm","UCL_Lm","Locality","C_Code","E_CODE","Comment","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS","SpecCode"
2022,"Pungitius pungitius",3469,27547,"unsexed",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not specified","840A",NA,"A greater percentage of males than of females matures at age 1. Nearly all are mature at age 2.",113,"1999-04-16T00:00:00.000Z",1,"2002-04-03T21:54:23.000Z",NA,NA,NA,3273
3771,"Pungitius pungitius",3469,41586,"unsexed",1,2,41586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Schleswig-Holstein","276",NA,NA,1,"2002-04-03T00:00:00.000Z",NA,"2002-04-03T00:00:00.000Z",NA,NA,NA,3273
6271,"Pungitius pungitius",3469,59043,"unsexed",0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not specified",NA,NA,NA,1790,"2008-01-29T21:12:33.000Z",NA,"2008-01-29T21:12:33.000Z",NA,NA,NA,3273
1409,"Spinachia spinachia",1373,982,"unsexed",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kiel Bight (eelgrass beds)","276",NA,NA,3,"1992-01-12T00:00:00.000Z",NA,"1994-09-30T00:00:00.000Z",NA,NA,NA,1355
2754,"Diplospinus multistriatus",8774,6181,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,"SL",NA,NA,NA,NA,NA,NA,"to be filled",NA,NA,NA,18,"1994-02-11T00:00:00.000Z",NA,"1994-02-18T00:00:00.000Z",NA,NA,NA,8460
1258,"Gempylus serpens",1057,6181,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,"SL",NA,NA,NA,NA,NA,NA,"Not stated",NA,NA,NA,18,"1994-02-11T00:00:00.000Z",113,"2008-01-23T00:00:00.000Z",NA,NA,NA,1041
1259,"Gempylus serpens",1057,6181,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,"SL",NA,NA,NA,NA,NA,NA,"Not stated",NA,NA,NA,18,"1994-02-11T00:00:00.000Z",113,"2008-01-23T00:00:00.000Z",NA,NA,NA,1041
2057,"Nealotus tripes",4103,9784,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,"SL",NA,NA,NA,NA,NA,NA,"Not stated.",NA,NA,"Matures at about 15 cm SL (Ref. 9784).",113,"1998-09-10T00:00:00.000Z",NA,"1998-09-10T00:00:00.000Z",NA,NA,NA,3907
3614,"Promethichthys prometheus",5242,32115,"mixed",NA,NA,32115,4,NA,NA,NA,NA,NA,NA,NA,NA,"TL",32115,47.4,NA,NA,NA,NA,"Canary Is.","724A",NA,"50% maturity",3,"2001-12-13T00:00:00.000Z",NA,"2002-05-02T00:00:00.000Z",NA,NA,NA,5008
2757,"Rexea solandri",8804,6207,"female",5,NA,28790,NA,NA,NA,NA,NA,NA,NA,60,70,NA,NA,NA,NA,NA,NA,NA,"southern waters","036",NA,NA,18,"1993-10-26T00:00:00.000Z",2,"2002-08-02T00:00:00.000Z",NA,NA,NA,8490
2758,"Rexea solandri",8804,6207,"male",4,NA,28790,NA,NA,NA,NA,NA,NA,NA,50,60,NA,NA,NA,NA,NA,NA,NA,"southern waters","036",NA,NA,18,"1993-10-26T00:00:00.000Z",2,"2002-08-02T00:00:00.000Z",NA,NA,NA,8490
2759,"Rexea solandri",8804,6390,"female",4,6,28786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New South wales","036",NA,NA,2,"1999-03-31T00:00:00.000Z",NA,"1999-03-31T00:00:00.000Z",NA,NA,NA,8490
2760,"Rexea solandri",8804,6390,"male",3,5,28786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New South Wales","036",NA,NA,2,"1999-03-31T00:00:00.000Z",NA,"1999-03-31T00:00:00.000Z",NA,NA,NA,8490
797,"Thyrsites atun",505,4332,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,"FL",4374,NA,NA,NA,NA,NA,"South Africa","710",NA,"100 % are mature at 52 cm FL.",3,"1993-10-15T00:00:00.000Z",NA,"1994-09-27T00:00:00.000Z",3,"1995-04-01T00:00:00.000Z",NA,489
